1	@JetBlue thank you for incredible customer svc from gate to flight. Mint experience is magic.	positive
2	@united I was well taken care of, thanks. I've already been sent a survey request &amp; I'll share my positive experience (despite delay)	positive
3	@united Too Late Flight, damage has been done. Easily the worst airline experience of my life. Missed two connecting flights &amp; days of work. #UA49	negative
4	@USAirways of course! "Yeah, travel has gotten harder. Ask other passengers if they will switch" it's not the fact, it's the attitude!	negative
5	@united I'm very frustrated and have wasted 2 days now due to your equipment failures.	negative
6	@united please update what is going to happen to passengers now that flt ua14 has been Cancelled Flightled	neutral
7	@united someone should send a note to the revenue management team and ask about all the open BF and GF seats on 919.	neutral
8	@USAirways  you Cancelled Flightled both my flights and refused to give a voucher despite no flights for 2days. @USAirways #neveragain	negative
9	@united you can read the full story when I submit a case to your team about the pilot of flight 6232 and why we are sleeping in DIA	negative
10	@JetBlue Thank you that it is not just a livery; it is a culture that 16,000+ crewmembers embody daily #thanksDave http://t.co/iNNP0Kkyby	positive
11	@SouthwestAir lost my sunglasses &amp; case on a flight 3933 last night - is there a lost &amp; found?	negative
12	@SouthwestAir You need to be more accommodating to your loyal customers. Not happy now!	negative
13	@USAirways ah, and I was only given one shuttle voucher, so if I do ever get back to the airport you'll be getting the bill	neutral
14	@JetBlue I called jet blue to get an explanation, and make sure it would not happen in the future. I was told to write the fraud dept.	negative
15	@SouthwestAir Your Terry is our hero! Got my husband back thru security to retrieve cellphone left on plane in Austin. Terry #85832 U Rock!	positive
16	@AmericanAir I tried to check in, but they redirect me to call in to @USAirways, which I also can't get into contact with	negative
17	@AmericanAir I can DM it to you, if you follow me	neutral
18	@AmericanAir I've been on hold for 4 hrs, no call bk either. Family of 4 trying to get from HDN to DFW flight 1418 direct. Need new info plz	negative
19	@SouthwestAir she made it standby after her flight was Cancelled Flighted for no reason. Almost 4hrs Late Flight.  Conf#Â FVF9YW  SWRR#Â 298033455	negative
20	@USAirways @joyadventuremom there are breastfeeding momma's watching this story all over the country! Better work on a faster response :)	negative
21	@AmericanAir robocalls me with another Cancelled Flightation. And then when I donâ€™t accept the change it wonâ€™t let me connect to an agent. Just wow.	negative
22	@AmericanAir Thank you for the info! Changes need to be made over the phone, correct? Is there any way an AA agent can call me directly?	neutral
23	@AmericanAir so we've now been driving across DFW for over 90mins. That's half fucking way to Texarkana! #shouldhavedriven	negative
24	@JetBlue my daughter's college game in Denver.  Only one set of parents will be there ðŸ˜¢ðŸ˜¢ðŸ˜¢	neutral
25	@AmericanAir many trips coming up!  I will see you soon ðŸ˜ƒ	positive
26	.@united just curious why you'd board a flight without a pilot. Seems crucial to the flight process, no?	negative
27	@united Airlines is changing #mileageplus program March 1 http://t.co/4ojE523PTw	neutral
28	@JetBlue follow for DM please	neutral
29	@USAirways 45 minutes on hold no help	negative
30	@VirginAmerica Status match - 2 weeks have gone by and no news.Flt next week - hope flt will count towards requirement.  Cust Svc no help!!!	negative
